Offer_id,offer_name,offer_type,offer_status,start_date,end_date,Discount_percent
OFF000001,Weekend Data Boost,data_boost,active,2021-11-28 20:00:55,2022-03-16 00:24:59,42.44
OFF000002,5G Trial Pack,seasonal,active,2024-07-12 02:30:40,2024-09-08 05:00:31,10.4
OFF000003,Festival Discount,festival,active,2021-03-23 08:46:25,2021-06-25 05:31:44,48.31
OFF000004,Bonus Data Pack,festival,active,2018-05-02 08:40:04,2018-09-06 03:46:46,28.97
OFF000005,Unlimited Calls Upgrade,student,active,2023-06-25 06:44:11,2023-08-15 20:20:47,34.07
OFF000006,Happy Hours Offer,corporate,active,2018-05-22 11:21:46,2018-09-02 16:39:01,11.05
OFF000007,New Year Special,student,active,2018-05-31 02:38:09,2018-06-30 06:24:02,32.46
OFF000008,Diwali Dhamaka,voice_boost,expired,2022-08-16 21:22:24,2022-12-20 09:52:30,26.85
OFF000009,Summer Special,promotional,active,2020-12-01 23:49:02,2021-01-30 01:58:45,7.84
OFF000010,Student Discount,loyalty,expired,2019-05-22 22:45:44,2019-09-27 00:56:11,33.38
OFF000011,Senior Citizen Plan,loyalty,active,2019-12-23 20:42:17,2020-04-23 03:56:19,35.78
OFF000012,Military Discount,festival,inactive,2022-04-23 07:27:14,2022-10-17 20:58:10,28.17
OFF000013,Corporate Bundle,referral,active,2022-02-19 03:01:17,2022-06-02 17:16:16,29.94
OFF000014,Family Pack,corporate,active,2023-12-08 13:23:19,2024-05-31 18:02:22,10.47
OFF000015,Work From Home Pack,referral,active,2020-11-06 10:00:25,2021-03-18 13:50:36,36.78
OFF000016,Gaming Pack,student,inactive,2023-04-02 07:53:00,2023-07-20 23:38:53,46.94
OFF000017,OTT Combo,loyalty,active,2021-03-04 05:30:48,2021-05-27 02:10:48,32.29
OFF000018,International Calling Pack,referral,expired,2023-09-10 10:02:07,2023-12-31 17:58:06,22.37
OFF000019,Night Owl Pack,festival,expired,2019-08-23 08:04:22,2020-01-25 15:40:13,7.59
OFF000020,Sports Pack,referral,active,2021-02-07 12:00:11,2021-05-08 22:54:00,23.4
OFF000021,IPL Special,voice_boost,active,2024-09-09 20:13:58,2024-11-16 22:10:23,42.75
OFF000022,Monsoon Offer,referral,active,2021-10-09 09:59:39,2021-12-03 09:24:24,40.7
OFF000023,Independence Day Pack,festival,inactive,2022-11-08 15:47:10,2022-12-29 22:43:32,41.17
OFF000024,Republic Day Offer,combo,active,2019-04-05 03:48:15,2019-09-10 22:20:58,28.54
OFF000025,Holi Special,voice_boost,active,2019-07-26 19:47:03,2019-11-21 15:19:26,25.1
OFF000026,Eid Mubarak Pack,corporate,active,2018-09-17 13:21:56,2019-01-16 17:30:34,18.89
OFF000027,Christmas Bonus,combo,expired,2022-07-02 03:28:09,2022-12-22 16:59:41,19.19
OFF000028,New Subscriber Offer,festival,active,2022-03-22 19:16:44,2022-05-21 16:37:44,9.19
OFF000029,Loyalty Reward Pack,data_boost,expired,2020-07-30 13:59:59,2020-08-30 01:54:25,6.34
OFF000030,Refer and Earn,combo,expired,2023-03-05 01:04:28,2023-08-13 06:49:38,6.34
OFF000031,Weekend Data Boost 2,festival,active,2024-02-23 23:32:24,2024-05-02 20:07:02,23.9
OFF000032,5G Trial Pack 2,referral,active,2020-09-03 13:06:00,2020-10-28 00:44:32,8.29
OFF000033,Festival Discount 2,loyalty,active,2023-07-14 01:47:59,2023-12-04 00:20:15,14.38
OFF000034,Bonus Data Pack 2,combo,expired,2021-02-06 03:05:35,2021-04-15 16:38:51,36.34
OFF000035,Unlimited Calls Upgrade 2,voice_boost,inactive,2020-08-16 19:29:23,2020-10-05 04:54:37,32.28
OFF000036,Happy Hours Offer 2,corporate,active,2023-03-27 01:14:59,2023-07-14 01:12:33,23.31
OFF000037,New Year Special 2,loyalty,expired,2021-02-07 05:42:14,2021-04-29 21:40:41,40.74
OFF000038,Diwali Dhamaka 2,corporate,active,2024-08-24 01:09:30,2025-01-16 17:37:31,9.11
OFF000039,Summer Special 2,combo,active,2021-10-07 23:48:55,2021-11-28 03:45:46,24.42
OFF000040,Student Discount 2,loyalty,active,2024-10-01 02:53:06,2025-03-30 02:12:47,47.57
OFF000041,Senior Citizen Plan 2,voice_boost,active,2018-09-13 23:14:41,2019-03-10 10:34:11,9.28
