Tower_id,capacity,covrage_area,location,Tower_status
1,750,Mall,"Bellary, Karnataka — Sector 47",active
2,500,Highway,"Jalandhar, Punjab — Sector 21",active
3,100,Railway Station,"Durgapur, West Bengal — Sector 50",active
4,100,Suburban,"Aurangabad, Maharashtra — Sector 25",maintenance
5,200,Suburban,"Chennai, Tamil Nadu — Sector 46",active
6,200,Commercial,"Bhavnagar, Gujarat — Sector 31",active
7,500,Railway Station,"Bellary, Karnataka — Sector 25",active
8,100,Railway Station,"Madurai, Tamil Nadu — Sector 24",active
9,200,Rural,"Ahmedabad, Gujarat — Sector 15",active
10,1000,Urban,"Lucknow, Uttar Pradesh — Sector 1",active
11,300,Suburban,"Chandigarh, Punjab — Sector 17",active
12,100,Railway Station,"Jaipur, Rajasthan — Sector 33",maintenance
13,750,Airport,"Hyderabad, Telangana — Sector 15",maintenance
14,300,Highway,"Jabalpur, Madhya Pradesh — Sector 42",active
15,300,Industrial,"Hubli, Karnataka — Sector 30",active
16,100,Industrial,"Hyderabad, Telangana — Sector 17",maintenance
17,1000,Commercial,"Ghaziabad, Uttar Pradesh — Sector 7",active
18,500,Railway Station,"Gurgaon, Haryana — Sector 34",active
19,500,Residential,"Jamnagar, Gujarat — Sector 1",active
20,500,Railway Station,"Vijayawada, Andhra Pradesh — Sector 17",maintenance
21,750,Mall,"Bikaner, Rajasthan — Sector 23",maintenance
22,100,Residential,"Lucknow, Uttar Pradesh — Sector 38",active
23,200,Urban,"Jaipur, Rajasthan — Sector 18",active
24,750,Railway Station,"Hubli, Karnataka — Sector 4",active
25,750,Highway,"Hubli, Karnataka — Sector 7",inactive
26,200,Commercial,"Rajkot, Gujarat — Sector 13",maintenance
27,750,Mall,"Mysore, Karnataka — Sector 5",active
28,300,Rural,"Vijayawada, Andhra Pradesh — Sector 5",maintenance
29,1000,Railway Station,"Vadodara, Gujarat — Sector 35",inactive
30,750,Highway,"Mysore, Karnataka — Sector 12",active
31,750,Highway,"Gandhinagar, Gujarat — Sector 29",active
32,300,Mall,"Nashik, Maharashtra — Sector 43",active
33,500,Residential,"Mangalore, Karnataka — Sector 15",active
34,200,Urban,"Indore, Madhya Pradesh — Sector 42",active
35,200,Commercial,"Jaipur, Rajasthan — Sector 37",active
36,100,Highway,"Faridabad, Haryana — Sector 32",active
37,200,Industrial,"Durgapur, West Bengal — Sector 12",active
38,1000,Railway Station,"Surat, Gujarat — Sector 41",active
39,750,Industrial,"Durgapur, West Bengal — Sector 31",active
40,1000,Railway Station,"Jamnagar, Gujarat — Sector 12",active
41,300,Mall,"Hyderabad, Telangana — Sector 1",active
42,500,Industrial,"Thane, Maharashtra — Sector 5",maintenance
43,750,Suburban,"Bangalore, Karnataka — Sector 28",active
44,500,Mall,"Jabalpur, Madhya Pradesh — Sector 1",active
45,100,Commercial,"Durgapur, West Bengal — Sector 16",active
46,100,Rural,"Delhi, Delhi — Sector 29",inactive
47,100,Commercial,"Vadodara, Gujarat — Sector 17",active
48,100,Commercial,"Warangal, Telangana — Sector 31",active
49,200,Mall,"Nashik, Maharashtra — Sector 48",active
50,300,Airport,"Gwalior, Madhya Pradesh — Sector 2",active
51,200,Commercial,"Hubli, Karnataka — Sector 27",maintenance
52,1000,Industrial,"Chennai, Tamil Nadu — Sector 12",active
53,500,Railway Station,"Jabalpur, Madhya Pradesh — Sector 23",inactive
54,1000,Railway Station,"Madurai, Tamil Nadu — Sector 49",active
55,300,Residential,"Warangal, Telangana — Sector 28",active
56,500,Mall,"Nagpur, Maharashtra — Sector 14",active
57,100,Urban,"Durgapur, West Bengal — Sector 35",active
58,1000,Mall,"Udaipur, Rajasthan — Sector 17",active
59,300,Urban,"Mangalore, Karnataka — Sector 8",active
60,100,Commercial,"Noida, Uttar Pradesh — Sector 33",active
61,300,Suburban,"Ghaziabad, Uttar Pradesh — Sector 35",active
62,750,Urban,"Bhopal, Madhya Pradesh — Sector 49",active
63,1000,Highway,"Meerut, Uttar Pradesh — Sector 46",active
64,500,Commercial,"Mumbai, Maharashtra — Sector 30",active
65,300,Airport,"Kolhapur, Maharashtra — Sector 3",active
66,100,Commercial,"Noida, Uttar Pradesh — Sector 19",active
67,300,Airport,"Jamnagar, Gujarat — Sector 44",active
68,300,Airport,"Bhavnagar, Gujarat — Sector 19",active
69,300,Industrial,"Noida, Uttar Pradesh — Sector 4",active
70,1000,Suburban,"Surat, Gujarat — Sector 39",inactive
71,300,Urban,"Jamnagar, Gujarat — Sector 41",active
72,1000,Mall,"Delhi, Delhi — Sector 14",maintenance
73,300,Industrial,"Madurai, Tamil Nadu — Sector 38",active
74,1000,Mall,"Junagadh, Gujarat — Sector 3",active
75,100,Highway,"Surat, Gujarat — Sector 33",active
76,200,Suburban,"Noida, Uttar Pradesh — Sector 25",active
77,200,Railway Station,"Bangalore, Karnataka — Sector 29",active
78,100,Mall,"Thane, Maharashtra — Sector 35",active
79,100,Industrial,"Nashik, Maharashtra — Sector 4",active
80,1000,Mall,"Chandigarh, Punjab — Sector 33",active
81,750,Residential,"Chennai, Tamil Nadu — Sector 18",active
82,200,Airport,"Faridabad, Haryana — Sector 27",active
83,1000,Mall,"Udaipur, Rajasthan — Sector 44",active
84,300,Highway,"Madurai, Tamil Nadu — Sector 49",active
85,500,Residential,"Bikaner, Rajasthan — Sector 33",active
86,500,Railway Station,"Kota, Rajasthan — Sector 32",active
87,750,Highway,"Kolkata, West Bengal — Sector 13",active
88,200,Highway,"Jamnagar, Gujarat — Sector 5",active
89,200,Urban,"Lucknow, Uttar Pradesh — Sector 7",inactive
90,100,Rural,"Vijayawada, Andhra Pradesh — Sector 5",active
91,300,Residential,"Nashik, Maharashtra — Sector 28",maintenance
92,300,Urban,"Warangal, Telangana — Sector 7",active
93,500,Commercial,"Bikaner, Rajasthan — Sector 47",maintenance
94,750,Highway,"Chennai, Tamil Nadu — Sector 5",active
95,1000,Residential,"Udaipur, Rajasthan — Sector 1",active
96,100,Highway,"Pune, Maharashtra — Sector 42",active
97,100,Suburban,"Bangalore, Karnataka — Sector 45",active
98,750,Highway,"Gwalior, Madhya Pradesh — Sector 14",active
99,500,Highway,"Kota, Rajasthan — Sector 40",active
100,750,Suburban,"Hyderabad, Telangana — Sector 12",active
101,200,Rural,"Amritsar, Punjab — Sector 22",active
102,500,Commercial,"Ludhiana, Punjab — Sector 47",active
103,1000,Airport,"Gandhinagar, Gujarat — Sector 2",maintenance
104,750,Suburban,"Ajmer, Rajasthan — Sector 29",maintenance
105,500,Airport,"Aurangabad, Maharashtra — Sector 35",active
106,300,Highway,"Kota, Rajasthan — Sector 24",active
107,500,Highway,"Salem, Tamil Nadu — Sector 17",active
108,500,Commercial,"Visakhapatnam, Andhra Pradesh — Sector 48",active
109,750,Suburban,"Bikaner, Rajasthan — Sector 33",active
110,300,Urban,"Bangalore, Karnataka — Sector 8",active
111,1000,Commercial,"Bhavnagar, Gujarat — Sector 3",active
112,100,Rural,"Pune, Maharashtra — Sector 48",active
113,1000,Mall,"Ahmedabad, Gujarat — Sector 34",active
114,100,Urban,"Coimbatore, Tamil Nadu — Sector 21",active
115,750,Commercial,"Ghaziabad, Uttar Pradesh — Sector 44",active
116,200,Airport,"Rajkot, Gujarat — Sector 28",active
117,300,Residential,"Jamnagar, Gujarat — Sector 13",active
118,100,Urban,"Howrah, West Bengal — Sector 45",active
119,1000,Mall,"Bhopal, Madhya Pradesh — Sector 29",active
120,200,Industrial,"Vadodara, Gujarat — Sector 10",active
121,500,Highway,"Aurangabad, Maharashtra — Sector 9",active
122,300,Residential,"Jalandhar, Punjab — Sector 25",active
123,300,Urban,"Hyderabad, Telangana — Sector 22",active
124,1000,Airport,"Madurai, Tamil Nadu — Sector 44",active
125,200,Rural,"Aurangabad, Maharashtra — Sector 33",active
126,500,Industrial,"Salem, Tamil Nadu — Sector 50",active
127,200,Suburban,"Madurai, Tamil Nadu — Sector 10",maintenance
128,300,Suburban,"Bangalore, Karnataka — Sector 14",active
129,750,Airport,"Madurai, Tamil Nadu — Sector 2",active
130,1000,Railway Station,"Bikaner, Rajasthan — Sector 48",active
131,200,Rural,"Indore, Madhya Pradesh — Sector 6",active
132,100,Suburban,"Bhopal, Madhya Pradesh — Sector 14",active
133,100,Highway,"Kolhapur, Maharashtra — Sector 45",active
134,300,Suburban,"Warangal, Telangana — Sector 9",active
135,200,Commercial,"Noida, Uttar Pradesh — Sector 33",active
136,200,Commercial,"Warangal, Telangana — Sector 12",active
137,1000,Urban,"Salem, Tamil Nadu — Sector 46",active
138,500,Railway Station,"Kolhapur, Maharashtra — Sector 25",active
139,100,Mall,"Mangalore, Karnataka — Sector 35",active
140,200,Railway Station,"Faridabad, Haryana — Sector 33",active
141,500,Urban,"Bangalore, Karnataka — Sector 48",active
142,750,Railway Station,"Indore, Madhya Pradesh — Sector 13",inactive
143,500,Suburban,"Amritsar, Punjab — Sector 24",active
144,100,Highway,"Pune, Maharashtra — Sector 42",active
145,200,Airport,"Hyderabad, Telangana — Sector 50",active
146,750,Railway Station,"Thane, Maharashtra — Sector 3",active
147,750,Commercial,"Mysore, Karnataka — Sector 29",active
148,300,Railway Station,"Kolhapur, Maharashtra — Sector 49",inactive
149,750,Rural,"Chandigarh, Punjab — Sector 7",active
150,750,Residential,"Delhi, Delhi — Sector 23",active
151,1000,Commercial,"Kota, Rajasthan — Sector 36",active
152,750,Suburban,"Amritsar, Punjab — Sector 22",active
153,500,Rural,"Ahmedabad, Gujarat — Sector 14",active
154,500,Commercial,"Jamnagar, Gujarat — Sector 5",active
155,200,Commercial,"Noida, Uttar Pradesh — Sector 21",active
156,750,Commercial,"Coimbatore, Tamil Nadu — Sector 7",active
157,300,Urban,"Mysore, Karnataka — Sector 11",active
158,750,Residential,"Patiala, Punjab — Sector 10",active
159,200,Railway Station,"Kota, Rajasthan — Sector 21",active
160,500,Highway,"Bhopal, Madhya Pradesh — Sector 32",active
161,500,Commercial,"Salem, Tamil Nadu — Sector 50",active
162,500,Mall,"Guntur, Andhra Pradesh — Sector 23",inactive
163,1000,Commercial,"Indore, Madhya Pradesh — Sector 27",active
164,200,Highway,"Durgapur, West Bengal — Sector 7",active
165,500,Residential,"Ludhiana, Punjab — Sector 2",active
166,300,Airport,"Bangalore, Karnataka — Sector 37",active
167,100,Rural,"Chennai, Tamil Nadu — Sector 14",active
168,200,Commercial,"Nagpur, Maharashtra — Sector 34",active
169,1000,Suburban,"Ludhiana, Punjab — Sector 45",active
170,300,Residential,"Jaipur, Rajasthan — Sector 41",active
