Complaint_id,Subscriber_id,Complaint_date,Resolution_date,description,Complaint_type
CMP000001,SUB034513,2023-02-21 22:27:32,2023-02-28 14:26:42,Customer reported: Data not credited. Issue observed in Mangalore area. Ticket escalated to Level 3 support.,Data not credited
CMP000002,SUB020226,2023-09-04 19:03:29,2023-09-08 20:33:26,Customer reported: SIM activation problem. Issue observed in Mumbai area. Ticket escalated to Level 1 support.,SIM activation problem
CMP000003,SUB021952,2018-05-26 18:37:25,2018-06-06 03:57:52,Customer reported: Call drops. Issue observed in Warangal area. Ticket escalated to Level 3 support.,Call drops
CMP000004,SUB030342,2023-02-20 13:05:15,2023-03-03 12:25:31,Customer reported: Recharge failure. Issue observed in Kolkata area. Ticket escalated to Level 3 support.,Recharge failure
CMP000005,SUB026918,2023-05-27 12:34:32,2023-06-07 08:30:13,Customer reported: Slow internet speed. Issue observed in Surat area. Ticket escalated to Level 3 support.,Slow internet speed
CMP000006,SUB039786,2019-10-21 20:22:38,,Customer reported: Call drops. Issue observed in Delhi area. Ticket escalated to Level 2 support.,Call drops
CMP000007,SUB005195,2020-11-27 06:51:40,2020-12-07 08:47:33,Customer reported: Roaming issue. Issue observed in Faridabad area. Ticket escalated to Level 1 support.,Roaming issue
CMP000008,SUB021273,2024-09-07 16:09:30,2024-09-19 11:41:24,Customer reported: Recharge failure. Issue observed in Bikaner area. Ticket escalated to Level 2 support.,Recharge failure
CMP000009,SUB011104,2024-07-02 15:27:13,2024-07-04 15:26:40,Customer reported: Billing issue. Issue observed in Nashik area. Ticket escalated to Level 1 support.,Billing issue
CMP000010,SUB005574,2019-08-27 08:41:13,2019-09-01 20:19:58,Customer reported: OTP not received. Issue observed in Udaipur area. Ticket escalated to Level 1 support.,OTP not received
CMP000011,SUB020859,2023-04-13 13:28:21,2023-04-21 04:36:01,Customer reported: Call drops. Issue observed in Ujjain area. Ticket escalated to Level 1 support.,Call drops
CMP000012,SUB020529,2020-03-05 04:51:08,2020-03-07 11:37:49,Customer reported: Number portability. Issue observed in Coimbatore area. Ticket escalated to Level 1 support.,Number portability
CMP000013,SUB026776,2021-08-14 12:56:07,,Customer reported: Slow internet speed. Issue observed in Noida area. Ticket escalated to Level 1 support.,Slow internet speed
CMP000014,SUB002702,2020-04-12 16:37:41,2020-04-13 20:34:00,Customer reported: Poor network coverage. Issue observed in Ahmedabad area. Ticket escalated to Level 3 support.,Poor network coverage
CMP000015,SUB015291,2020-10-29 00:18:02,,Customer reported: Call drops. Issue observed in Kolkata area. Ticket escalated to Level 1 support.,Call drops
CMP000016,SUB014646,2024-07-22 13:44:20,2024-08-04 20:08:11,Customer reported: OTP not received. Issue observed in Chennai area. Ticket escalated to Level 3 support.,OTP not received
CMP000017,SUB007653,2021-06-29 01:14:52,2021-07-02 15:46:14,Customer reported: Portability delay. Issue observed in Jalandhar area. Ticket escalated to Level 1 support.,Portability delay
